file_keys,Funk-CH-d
50PztXjRrRUhsBzOj7fwFHpEnAqA08h3,0.43
V287aFRCCbvXICreXXX5vxoEyZeJ17aL,0.31
SkbL3DYb7aFhBBiq6a6sCzOg80fESDsJ,0.65
7EyT37HqVeFEYewXoEKwbC2lufpv7mT1,0.49
sHIHkwFXw08HxeqZ3mcdSstO1u8anv67,0.53
ztldzYsYw2aNnizH4wuwJXkHzEmnVbxE,0.58
y3MHeXje9aN6gBl5THTuIXZgXSPZTvdN,0.34
aRnTu5UHdKevGRR7BUcDK7YpE4WuN1UV,0.25
ozdZ4FIxTdsGx9AyhAxVwuVP570vkUNz,0.66
Vm7xlnMo30ee0k1ne3kFtbvXTiUnIPd4,0.79
rjKsjlicl0LOUDmeA5JrYh8m9ekAvifK,0.62
HYKZ7WrWs4fISGZAfqC53y95quq594QZ,0.66
C2SxZqpu28TDIJe1Hc5w6zTaDlthXV17,0.43
TI3eSrQnGm5EJcPtlCpa3OPBuiHjPWP9,0.37
5PbQMLjN7SZHF9skHbYwBCby3KH6cqsL,0.37
D0Ugx0TkziO6wjn9t5JpS1MngoOmfYyx,0.11
QT0XwGo4h4owJcK1zKS71E1xhlNwBwDE,0.24
hqCWH3oHzV9Bo33aSJfwn7pH9rrJFWg9,0.58
0TQVHnKsGmimjKm293mGRY2qC3t1KBK0,0.66
IqKvAGnvldC668NuLSjwsl11HovKyz0u,0.67
Gv2liK1ZakBzWRUQMXDEPp43IZ7tnuS4,0.51
