file_keys,Jungle-2
7EyT37HqVeFEYewXoEKwbC2lufpv7mT1,0.14
ozdZ4FIxTdsGx9AyhAxVwuVP570vkUNz,0.34
rjKsjlicl0LOUDmeA5JrYh8m9ekAvifK,0.12
D0Ugx0TkziO6wjn9t5JpS1MngoOmfYyx,0.04
y3MHeXje9aN6gBl5THTuIXZgXSPZTvdN,0.09
HYKZ7WrWs4fISGZAfqC53y95quq594QZ,0.32
TI3eSrQnGm5EJcPtlCpa3OPBuiHjPWP9,0.33
SkbL3DYb7aFhBBiq6a6sCzOg80fESDsJ,0.39
IqKvAGnvldC668NuLSjwsl11HovKyz0u,0.23
QT0XwGo4h4owJcK1zKS71E1xhlNwBwDE,0.35
V287aFRCCbvXICreXXX5vxoEyZeJ17aL,0.22
50PztXjRrRUhsBzOj7fwFHpEnAqA08h3,0.24
sHIHkwFXw08HxeqZ3mcdSstO1u8anv67,0.07
iR9yF4BBzLLaiiAdKPoomYPRjksctHPE,0.12
ztldzYsYw2aNnizH4wuwJXkHzEmnVbxE,0.27
aRnTu5UHdKevGRR7BUcDK7YpE4WuN1UV,0
dVsEv2M02jgsTLzhBnivaDpv21zvhkro,0.02
Vm7xlnMo30ee0k1ne3kFtbvXTiUnIPd4,0.38
0TQVHnKsGmimjKm293mGRY2qC3t1KBK0,0.24
C2SxZqpu28TDIJe1Hc5w6zTaDlthXV17,0.11
5PbQMLjN7SZHF9skHbYwBCby3KH6cqsL,0.14
6Zso6loMs9sTSof1Z6Wz50iPGgBGGbXK,0.03
hqCWH3oHzV9Bo33aSJfwn7pH9rrJFWg9,0.35
Gv2liK1ZakBzWRUQMXDEPp43IZ7tnuS4,0.14
